  
       XFOIL         Version 6.99
  
 Calculated polar for: N63214                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   3.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3921   0.00992   0.00298  -0.0352   0.6460   0.0336
  -4.500  -0.3362   0.00959   0.00265  -0.0355   0.6339   0.0424
  -4.000  -0.2806   0.00917   0.00230  -0.0358   0.6216   0.0688
  -3.500  -0.2245   0.00879   0.00201  -0.0362   0.6099   0.1029
  -3.000  -0.1685   0.00830   0.00171  -0.0366   0.5979   0.1629
  -2.500  -0.1136   0.00733   0.00130  -0.0373   0.5861   0.3196
  -2.000  -0.0566   0.00688   0.00113  -0.0380   0.5750   0.4075
  -1.500   0.0010   0.00663   0.00105  -0.0386   0.5638   0.4702
  -0.500   0.1177   0.00656   0.00100  -0.0397   0.5417   0.5123
   0.000   0.1761   0.00658   0.00101  -0.0402   0.5309   0.5253
   0.500   0.2344   0.00661   0.00104  -0.0407   0.5199   0.5372
   1.500   0.3505   0.00676   0.00117  -0.0417   0.4878   0.5596
   2.000   0.4082   0.00687   0.00128  -0.0421   0.4678   0.5712
   2.500   0.4647   0.00712   0.00143  -0.0424   0.4295   0.5831
   3.000   0.5190   0.00764   0.00170  -0.0425   0.3563   0.5948
   3.500   0.5710   0.00843   0.00213  -0.0423   0.2625   0.6065
   4.500   0.6723   0.01021   0.00322  -0.0416   0.0943   0.6316
   5.000   0.7252   0.01076   0.00369  -0.0414   0.0649   0.6448
   5.500   0.7773   0.01135   0.00420  -0.0411   0.0411   0.6576
   6.000   0.8296   0.01188   0.00472  -0.0409   0.0304   0.6707
   6.500   0.8817   0.01238   0.00525  -0.0406   0.0255   0.6841
   7.500   0.9831   0.01349   0.00645  -0.0396   0.0191   0.7118
   8.000   1.0323   0.01409   0.00713  -0.0390   0.0174   0.7262
   8.500   1.0800   0.01474   0.00785  -0.0381   0.0158   0.7412
   9.000   1.1255   0.01548   0.00866  -0.0369   0.0142   0.7567
   9.500   1.1694   0.01622   0.00952  -0.0355   0.0132   0.7731
  10.000   1.2102   0.01706   0.01045  -0.0337   0.0122   0.7909
  10.500   1.2448   0.01797   0.01148  -0.0309   0.0113   0.8105
  11.000   1.2719   0.01898   0.01264  -0.0271   0.0108   0.8345
  11.500   1.2971   0.02016   0.01400  -0.0234   0.0102   0.8663
  12.000   1.3137   0.02139   0.01552  -0.0185   0.0097   0.9603
  12.500   1.3393   0.02316   0.01739  -0.0164   0.0092   1.0000
  13.000   1.3620   0.02527   0.01958  -0.0143   0.0087   1.0000
  13.500   1.3822   0.02771   0.02212  -0.0124   0.0084   1.0000
  14.000   1.4014   0.03039   0.02492  -0.0109   0.0081   1.0000
  14.500   1.4181   0.03344   0.02811  -0.0096   0.0078   1.0000
  15.000   1.4328   0.03684   0.03164  -0.0087   0.0074   1.0000
  15.500   1.4443   0.04074   0.03567  -0.0082   0.0071   1.0000
  16.000   1.4526   0.04519   0.04026  -0.0081   0.0069   1.0000
  16.500   1.4589   0.05019   0.04541  -0.0086   0.0066   1.0000
  17.000   1.4612   0.05600   0.05138  -0.0097   0.0064   1.0000
  17.500   1.4604   0.06260   0.05815  -0.0115   0.0061   1.0000
  18.000   1.4568   0.06997   0.06571  -0.0140   0.0060   1.0000
  18.500   1.4492   0.07837   0.07432  -0.0174   0.0059   1.0000
  19.000   1.4372   0.08793   0.08410  -0.0217   0.0057   1.0000
  19.500   1.4194   0.09900   0.09539  -0.0273   0.0056   1.0000
  20.000   1.3950   0.11187   0.10851  -0.0342   0.0055   1.0000
  20.500   1.3651   0.12637   0.12327  -0.0427   0.0054   1.0000
  21.000   1.3279   0.14303   0.14021  -0.0530   0.0054   1.0000
  21.500   1.2856   0.16148   0.15895  -0.0651   0.0053   1.0000
  22.000   1.2369   0.18240   0.18015  -0.0792   0.0053   1.0000
  22.500   1.1884   0.20456   0.20258  -0.0944   0.0053   1.0000
  23.000   1.1326   0.23128   0.22956  -0.1119   0.0051   1.0000
  24.000   1.0554   0.29068   0.28913  -0.1434   0.0021   1.0000
  24.500   1.0690   0.29727   0.29573  -0.1484   0.0019   1.0000
  25.000   1.0827   0.30351   0.30197  -0.1533   0.0018   1.0000
